X    Y   fi  V   gam
5    5   0   0   0
4.75068    5   -0.07188   -4.98639   0.280693
4.502    5.01791   -0.14376   -4.98639   0.280693
4.25526    5.05362   -0.21564   -4.98639   0.280693
4.01171    5.10697   -0.28752   -4.98639   0.280693
3.77233    5.17776   -0.209845   -4.99268   -0.301658
3.52817    5.22976   -0.13217   -4.99268   -0.301658
3.28071    5.26266   -0.0544956   -4.99268   -0.301658
3.03145    5.27626   0.0231791   -4.99268   -0.301658
2.78158    5.27047   0.100559   -4.99863   -0.300245
2.53291    5.24538   0.177939   -4.99863   -0.300245
2.28693    5.20114   0.255319   -4.99863   -0.300245
2.0451    5.13802   0.332699   -4.99863   -0.300245
1.8087    5.05633   0.404884   -5.00229   -0.280974
1.57881    4.95781   0.47707   -5.00229   -0.280974
1.35662    4.84296   0.549255   -5.00229   -0.280974
1.14329    4.71239   0.62144   -5.00229   -0.280974
0.940173    4.56693   0.699043   -4.99656   -0.301176
0.74894    4.40617   0.776646   -4.99656   -0.301176
0.570745    4.23107   0.854249   -4.99656   -0.301176
0.406662    4.04268   0.931852   -4.99656   -0.301176
0.257668    3.84213   1.00846   -4.99688   -0.297524
0.12446    3.63076   1.08507   -4.99688   -0.297524
0.00782044    3.40981   1.16168   -4.99688   -0.297524
-0.0915677    3.18058   1.23829   -4.99688   -0.297524
-0.173221    2.94414   1.30923   -5.00301   -0.276346
-0.237909    2.70249   1.38017   -5.00301   -0.276346
-0.285305    2.45687   1.45112   -5.00301   -0.276346
-0.315172    2.20851   1.52206   -5.00301   -0.276346
-0.327331    1.95922   1.59438   -4.99177   -0.282045
-0.321445    1.7097   1.66671   -4.99177   -0.282045
-0.297544    1.46126   1.73903   -4.99177   -0.282045
-0.255752    1.2152   1.81135   -4.99177   -0.282045
-0.196248    0.972622   1.74036   -4.9953   0.276918
-0.154098    0.726439   1.66938   -4.9953   0.276918
-0.129517    0.477887   1.59839   -4.9953   0.276918
